,phase,predicted Tc,true Tc
2029,As Ce F Fe Gd O,25.242701913993297,44.0
564,Bi Ca Cu La Nd O,47.033642925162255,37.5
637,Ge Ru Th,6.15032656984843,1.1
2519,C Tb,3.3252976704970805,5.4
2973,Fe Lu P,5.902292318473818,0.0
715,Br Hf Li N,18.735169745146234,24.1
460,Nb Pd Se,5.928779972135844,2.1
3957,Al Nd Pd,5.424132101784937,0.0
860,C Ca,3.391819423340049,11.303
2011,Ba Os P,5.69835213027686,0.0
870,Ba Cu Fe H O Y,46.781874578769475,47.0
2731,In Pb Y,6.058995014501169,1.94
4018,B Li,3.280908955548014,7.05
1109,B Mo,3.3176623202650934,7.775
1419,As Fe Gd O,17.14264574905427,53.6
48,C Mo W,6.4714966808706915,12.0
499,Ce Rh Si,5.66577013971479,0.914
3646,Ni Se Ta,6.998623248891405,2.5
605,Fe Te,3.280908955548014,1.5
4123,Os P Zr,6.813500507715581,5.3525
3347,Ir Si Zr,6.8510550568447375,6.2
625,Ba Ce Cu Eu La O Sr,41.302646933160695,68.0
1413,La Pd,3.280908955548014,1.48
673,Al Ca Ga Si,12.69694939278886,6.54
2930,Ga Rh,3.280908955548014,1.925
3867,As La Ru,5.753418254369288,10.3
683,B Er Rh,5.336602849236556,7.795
4034,Ir Sn Yb,5.965196929687874,0.0
1161,Mo Si,3.357219537343939,11.7
2823,As Fe O Tb Th,19.966167561722788,52.0
105,Fe Se Te,6.1536833139444935,15.0
2780,O Rh Zr,6.770367783057134,11.8
940,Be Pd,3.280908955548014,0.0
441,Cu Nd O Pb Sr,19.72332312677327,28.0
1945,Tc V,3.3939729020610185,11.32
2140,Ca Ir Sn,5.996720268425301,6.95
1571,Rh Sr,3.3474307083909833,6.2
3782,Cu Ho Mo O Sr,20.174837373453133,27.0
221,Pd Sn,3.280908955548014,3.34
3981,B Ce Ir,6.443589743848879,0.0
1526,B C Fe Ho Ni,15.5571338870163,7.0
2420,As Co F Fe La O,24.78015908656019,24.5
3118,Au B C Nd Pt,18.389594071997426,1.6
562,B C Gd Ni Y,17.627686762695813,13.5
1295,Al C Nb,6.813500507715581,0.0
196,Ce Cu Nd O Ru Sr,19.818168253847457,2.9
3760,As Bi Pb Sb,17.195674595461593,9.0
1359,Ge,3.280908955548014,3.9475
13,Ga Mo O,7.66193227802591,1.92
377,Ba Ca Cu La Mo Nd O,52.95877190042832,76.0
1446,C La Tl,6.078480405028501,0.0
2391,Ca Cu Er O Sr Tl,52.94887673320946,78.0
3491,Be Tc,3.3176623202650934,5.21
1512,Mo Se,3.357219537343939,6.28
1212,Ba Ca Si,7.015376817825846,7.65
1938,Fe Lu Si Tm,14.155129495558342,2.79
3601,C Pd,3.3252976704970805,1.3
2777,C Nb Ta,6.869638383691861,11.1
3266,Cr U,3.3620510352141597,0.75
973,B Ir Sm,5.624297717083542,0.0
4160,Nd P Pd,5.28381004867329,0.0
3715,B Ba C Ca Cu O Sr,20.757760136033486,119.0
1315,Fe O P Pr,15.923881792399351,3.586666667
556,Ho Mo S Sn,13.594050117845121,1.22
165,Bi Ca Cu Nd O Pb Sr,57.71525247988618,87.0
3936,Ge P,3.280908955548014,4.2
1112,Fe Mn Se Te,14.498982722634425,14.4
2506,La Ru Sn,5.996720268425301,3.9
235,Ba Ca Cu O Tl,56.20210836556278,124.0
2808,Fe Li Se,7.2048082107347815,44.0
2223,C Cs Na Rb,17.254144193893875,9.4
454,Ce Co In Sn,11.88907691098295,2.21
400,Ge Ir Lu Si,11.707898760488353,7.74
821,Ba Ca Cu O Tl Y,53.542713307011226,110.0
3171,La Sb Zn,6.144017327329831,3.74
1342,Ce Cu Eu O Y,20.45886462480874,5.2
2412,Ir Th,3.301394365974876,6.11
794,Al Nb Ti,6.398437319861371,17.7
3428,Co La O Sr,18.95210975982379,0.0
33,Ni Ti Zr,6.996955285485678,3.65
872,Si Zr,3.3176623202650934,3.54
338,Au La,3.301394365974876,3.97
1128,Rh Ta Ti,6.355304595202925,2.3
304,Br C Cl La,18.834886952588057,63.0
3139,Fe Ge Ho,5.758176400884196,0.0
3644,Al Ge Y,5.875675241752525,4.5
2849,Pb S Ti,6.214982542091274,0.0
2692,Ba Cd Cu O Tl,45.9815090275904,88.0
3855,Rh Ti Zr,6.996955285485678,1.8
1197,Ru Ti V,6.91054711716708,6.58
560,Cr Ga V,6.985521210403942,12.6
3639,C Ta Zr,6.953822560827231,2.3
3818,Ca Cu O Pb Sr Tb,48.207876584258045,0.0
3489,Fe Te Tl,6.077221435745603,0.0
3210,Al In Nb,7.028796654064092,18.3
2629,Bi Ni Pr,5.661852266212698,4.2
2528,Ir Sn Sr,5.800842126333485,5.016666667
184,Rh Y,3.301394365974876,1.48
2486,Al Nb Ni,5.1940480540494445,4.2
3248,Cu F Nd O Sr,20.005173252967833,0.0
2648,In Pb Sn,6.217594590303102,0.0
2261,In Pb Te Tl,14.214076322364463,0.954
893,Be Cr,3.3176623202650934,0.0
3481,Ca In N,7.776971979653856,0.6
459,As Fe Li,7.09337048019281,20.0
3683,Be Re Ru,5.537301054654372,9.2
1299,Ba Cu Eu O Zn,48.65648651463279,0.0
139,Cu Dy O Re Sr,20.228490253787985,74.0
932,Ba Ca Cu Hg O Re Sr,88.73113129380141,131.3
804,Ga Si V,6.764646888526141,18.6
3853,Ce Cu Hg Ho O Sr,24.79662374084249,72.0
3250,Mg Mo S,5.843956305256596,2.72
109,H Mn O S Ta,22.82318378566854,58.0
2538,Fe Mo S Sn,13.524412045290726,7.05
2051,B C Li Mg,12.445839581703295,35.6
2209,Ir Si Y,5.875675241752525,3.005
623,Bi Cu La Ni O Pb Sr,29.05930156123697,52.0
1239,As Fe La O Zn,20.449529547727938,14.1
3418,Al Pd Pu,5.871057654392217,0.0
1675,Ce Cu Eu O,16.94017311261411,7.75
1427,Pb Sn,3.280908955548014,7.75
1029,Bi Y,3.301394365974876,2.25
985,B Ru Yb,5.875209475304521,0.0
131,Ca Cu Mo O Pr Sr,42.798290732010194,15.0
3984,Ir Si Yb,5.9558967490921235,0.0
3945,Ca Cd Cu O Pb Sr Y,42.120877795310825,0.0
152,Ce Cu Nb O Sm Sr,19.627374144407558,25.0
3438,F K Li O W,37.215341545530954,1.1
197,Ba Ca Cu Hg O Y,89.00483404144975,49.0
1922,Bi Se Ta,7.234649405370643,1.8
519,As Cr Cs,5.9995594434079225,2.025
530,Mo S Sn Tc,10.145961720438521,50.5
1074,Li Mg,5.27236214635021,11.0
1979,N Nb V,7.466219221576056,7.12
2827,Mn P,3.280908955548014,0.0
3716,As Ba Fe Pr,21.541235983308255,6.2
3232,Fe Nb Si,5.912843052570196,6.8
2961,Al N Nb,6.813500507715581,1.3
340,Ba Ca Ge Pt,17.88680024860908,3.1
3559,Ba Bi K Pb,25.13186350618243,22.8
463,Ag Cu La O,19.079457605084325,11.0
2812,As Fe Gd O Th,20.449529547727938,56.5
1326,B Ca Rh,6.463107165369494,4.0
399,Ba Ca Cu La Nd O Zn,55.26836483093493,41.0
2799,Mg Pb,3.280908955548014,6.61
234,La Y,3.301394365974876,5.5
707,Hf Ta,3.3939729020610185,6.85
416,Ba Ca Cd Cu La O,52.19958084449343,77.5
3322,Cs Mo Se,6.26102252934438,0.0
2480,C Sn Y,5.928108147006722,10.2
949,Rh Ru,3.297176909838232,0.38
464,Ca Mo O S,13.86361624123195,31.3
4137,Bi Ce Cu Er O Sr,22.882553538718888,0.0
2591,Ga Pt,3.280908955548014,2.9
781,Bi Ca Cu Ga O Pb Sr,58.797459439675684,104.4
84,As F Fe La Mn O,20.83784693954939,23.8
490,As Ba Fe Ni,10.44860136490612,20.15
3994,Bi F La S Se,17.123789564246476,5.24
1775,La Ni O Th,12.958289097631074,0.0
1968,As Fe La O Sr,20.449529547727938,25.5
582,Nb Sn Zr,6.860355237440488,18.1
3851,Br Cl Hf Li N,19.21924569140556,23.6
3911,Ge Rh Th,6.15032656984843,1.1
1451,Hg Li,3.280908955548014,1.7
136,La Ru Sb,5.889676267408247,3.293333333
3579,Ba C K,5.9566771082410925,15.0
99,Al Nb Si V,9.292788090712241,1.75
2590,Be Mg,3.280908955548014,0.0
49,Mo Pd Rh Ru,10.505958349089521,2.14
2970,As Ca Fe La Sb,26.2802564644201,47.2
1015,Sn Ta V,6.867414392508633,3.7
4068,B Pt Th,6.15032656984843,0.75
1986,La Ru Si,5.66577013971479,7.6
183,Cd Ce Cu O Pb Sm Sr,22.379796148532076,7.2
2472,Co Lu,3.301394365974876,0.175
445,Ba Cu O Pr Sm,51.46968674635179,56.4
2241,As Fe Mn Sr,18.197641949577747,0.0
3666,Nd Ru,3.297176909838232,0.0
4086,B Ca Ir,7.9364405405851315,0.0
3445,As Co Eu Fe,10.541028069696145,21.0
4085,B Co U,5.926085283090175,0.0
2340,Mo Se Te,6.1536833139444935,6.69
2367,Cu Ga,3.280908955548014,0.048
2469,La,3.280908955548014,5.343
614,Ba Ce Cu Eu La O Sr Y,41.302646933160695,28.5
2791,Ga,3.280908955548014,5.527454545
3206,Cs S V,7.213870263440449,0.32
1124,Ge Ni V,6.764646888526141,0.0
3976,Ca Fe O Zn,10.752720955087195,0.0
1769,Ir Ni,3.280908955548014,0.052
1269,Hf Rh Si,5.66577013971479,1.15
3341,Bi Cu O Sm Sr,26.94049406837529,17.0
2927,C N Nb Ti,9.618415717793432,17.8
1221,B Nb O,7.7634010159015805,0.0
259,F Hg Ta,7.45715185667925,4.5
4080,Se W Yb,5.919640966069791,2.2
235,In Mo S Sn,13.803075465707884,11.1
955,Mo Se Tl,6.0827996112748925,12.2
3334,Al Rh Y,5.83812069262337,0.9
2267,As Ca F Fe Rh,14.085506389867454,22.2
3861,B C Ni Pt Y,18.765350463782415,13.7
247,Ce Cu Eu O Pb Sr,21.47315293359185,28.0
2560,B Rh Sr,5.710854671950133,3.4
611,Au Ba Cu La O,21.043868276960524,75.0
303,Ba Bi O Pb Sr,42.4627967161243,6.0
287,Ba Ga P,5.999913725942265,30.9
1418,Fe Se Tl,6.0827996112748925,22.4
1500,C Ge La,5.661852266212698,3.3
82,C La Y,6.0978085329132234,8.6
2786,Al Ba Cu La O Ti,22.20487932436017,0.0
598,O Ru Sr,5.710854671950133,1.290384615
3468,Ga Se Ta,6.998623248891405,5.8
2846,B C Mo Rh,8.87428149033916,9.1
2280,Fe Ga V,6.985521210403942,10.1
431,Ca Cl Cu O,17.613237620331336,41.0
135,Co Y,3.301394365974876,2.85
2298,Ba Rh,3.280908955548014,6.0
1439,Bi Ca Cu Ni O Sr,60.56622004215111,92.55
2955,Br Cu Li O Sr,28.757302403994323,8.0
1603,Ce Co In Ru,9.489700342702395,2.25
249,C Nb Zr,6.996955285485678,4.2
492,Sb Ti V,6.91054711716708,1.49
685,Li Pb,5.27236214635021,7.2
4114,Lu Ru Sn,5.996720268425301,0.0
497,Ce Ho Ru,5.58392560815428,42.0
1085,Nd S Ta,6.686183605921765,4.3
629,Al Mo S Sn,12.883377013777428,14.2
283,Ca Cu O S Sr Y,47.71095585463707,2.8
803,Ba Ca Cu Fe La O Y,55.26836483093493,80.0
134,Au In,3.280908955548014,0.5
330,Ba Ca Ce Cu O Tl,56.46484655484577,103.0
107,B Lu Rh Ru,9.647129072442096,74.8
3054,Br Li N Zr,16.811666082678915,14.1
4176,Ir Pr Si,5.849224917484887,0.0
347,Ta W,3.3939729020610185,3.4
2858,Ce Co Ni,5.147423500549539,0.46
2379,Fe Zr,3.3176623202650934,1.0
1615,As Ba Li O Ti,25.85408354796307,0.0
2870,Li S Ta,7.013767651677988,0.0
2290,B C Ce Ir,9.32436135915873,0.0
1372,Ce La Sn,6.256408108715156,4.33
3627,Ba Pd,3.280908955548014,0.0
168,Ba Cu Gd O Pr Sr,43.9237275272449,4.0
1605,Mo Pb S,5.919226452154663,14.6
2289,Ba Cu Fe O Sr Y,43.624696726057174,60.0
2689,B Rh Th,6.15032656984843,4.448
1566,Au Lu,3.301394365974876,0.185
1023,Er Os Sn,5.996720268425301,1.3
3434,As Ca Cu F Fe,40.69665322575835,0.0
390,Ba Ca Cu Hg O Tl,92.25102478741017,110.0
3102,Ba O Ti,6.214982542091274,0.0
226,K O W,7.486560553178501,3.9
425,Bi Eu Sr,6.181705524440996,40.0
2809,In Pt Y,5.83812069262337,0.0
15,B Ni Y,5.875675241752525,1.08
1579,Nb P Ru,5.612355646159678,0.0
3546,Ca K Nb O,19.49965487035132,1.0
3045,Mo Re Te,5.927230816537404,3.5
3839,As F Fe O Tb,21.064544337690066,50.5
316,Fe Ho P,5.881806908046957,0.0
2308,Ge N,3.402251637634026,0.0
688,Ce In Ir Sn,12.21722341963163,1.043
1388,Pt Si Ta,6.723738155050921,3.54
974,S Se Ta,6.998623248891405,3.97
523,Mn Re,3.3176623202650934,0.0
573,Bi Ca Cu La O Tm,57.90279454192403,38.0
921,Ba Ca Cu O Pr Y,52.363647764169166,87.0
1168,Be Re,3.3176623202650934,9.645
2292,I Mo Te,6.014795031961119,2.4
229,Bi Hf La O S,22.395679984475592,2.36
3422,As Y,3.301394365974876,0.0
19,Cu O V,6.727092339396985,5.86
1102,Ho Os Si,5.66577013971479,4.5
2554,Ba Cu Lu O Yb,48.91747527243002,89.9
2681,Au Cu,3.280908955548014,0.0
2381,Ba Ca Cu O Pr,55.023042822720726,0.0
2622,Hg Pb Sm,6.124826170349139,5.9
3442,Rh,3.280908955548014,0.08138375
3067,Ni Te,3.280908955548014,0.0
2135,Al Gd Pd U,12.122670322070949,1.16
408,Sc Zr,3.3176623202650934,0.32
419,Al B Li Mg,12.742880865015081,38.2
3701,As Os Zr,6.770367783057134,8.0
2491,B Pr Ru Th,12.166486106110783,2.3
1593,Au Be,3.280908955548014,1.775
1182,Ba Ca Cu Ni O Y,53.23208358571768,91.0
4073,As Fe Nd O Th,20.449529547727938,43.0
476,Mo Re,3.3939729020610185,12.75
2404,Bi Gd Ni,5.150915329390997,4.2
3413,B C Nd Ni,6.992931987100734,0.0
1794,Fe Ni Se Te,14.814060572993187,9.5
645,Ba Ca Cu Nd O Pr,52.8048560629542,86.1
299,Fe Pd Te,5.889676267408247,4.0
662,Mo Tc,3.3939729020610185,15.8
2355,Bi O S Se,15.103584455480565,4.2
2147,Bi Ca Cu La O Sr,60.65661136080666,88.45
572,B C Dy,5.720621851755039,0.0
596,Ir Os Y,5.83812069262337,2.6
2494,Nb S Sm,5.624297717083542,0.0
3643,Pb Pd Th,6.15032656984843,0.0
3055,Er Pd Sn,5.996720268425301,1.17
571,Bi Ca Cu Er La O,49.88637995705797,12.5
40,Ba Cu O Pr Sr Y,48.21977654698451,79.4
3602,As Os,3.297176909838232,0.0
22,Mo Nd O,8.706510706903083,14.5
1401,Be Mg Re,7.7193563634241755,10.1
2948,Mn Sn,3.280908955548014,0.0
241,As F Hg,6.113709771530412,4.0
4136,F O Rb W,10.363523756149686,3.6
3368,As Fe La,5.661852266212698,0.0
1261,Bi Ca Cu Nd O Pb S Sr,57.71525247988618,80.0
176,Nb Zr,3.3939729020610185,10.9
3013,Be Nb Ta,6.869638383691861,1.7
2981,Dy Os P,5.69835213027686,0.0
1891,Bi F O S,15.548861897695513,5.1
2781,Ce Pd Si,5.66577013971479,0.421
2151,Bi Ca Cu Lu O Sr,62.90600459252819,92.5
529,Ba Cu La Nb O W,47.30381779862494,71.9
2795,Cr Os,3.3415656247872985,3.906
1671,Cl Hf Mg N,16.788049538983056,25.0
2451,Bi Os,3.297176909838232,0.0
2154,Gd Ni Sm,5.661852266212698,4.5
2198,As Cr K,6.038663148135519,5.95
1816,La Rh,3.280908955548014,2.6
856,Ir Si Th,6.187881118977587,6.5
4063,Bi V,3.3176623202650934,0.0
2869,Rh Te,3.280908955548014,0.755
3970,Ag La Sb,6.149364107698103,0.0
3718,Bi Cu Te,6.19123786307365,6.0
1719,C Cs Rb,8.245326063977897,33.0
193,B C Dy Ni Tm,17.584341080416426,9.75
1735,Nb Te,3.357219537343939,1.746666667
1665,Cu Gd Ir O Ru Sr,19.555573738374193,38.0
2422,In Nb Zr,6.996955285485678,6.4
501,Bi Br Cu O Sr,25.907001490824864,30.0
579,Bi Ca Cu Li O Pb Sr,59.21216728693767,20.0
1773,Bi F La O Te,17.436703177494522,0.0
3429,Ba Ce Ni O Pb,40.004903859256395,0.0
4203,Al C,3.297176909838232,0.0
2867,Ba Cl Cu Li O,30.20682269935454,0.0
2866,Cu Gd Li O Ru Sr,22.46241371479099,19.0
627,Mo Pb Se,6.149654294013643,5.0
905,Cu Nd O Th,15.222204101025717,22.5
4061,Pb Se,3.280908955548014,0.0
1147,C Ge Y,5.875675241752525,10.6
534,Pd Pt U,5.888530733961021,0.4785
3392,Tl Zr,3.3176623202650934,0.0
254,Hg Mo Se,6.304747391561819,1.5
269,Ge Pd Y,5.83812069262337,3.125
4188,Ba Cu In O Y,47.8708869932919,90.0
4122,B Ce,3.301394365974876,0.0
3682,Mo Ni,3.357219537343939,0.0
2084,Ho,3.280908955548014,0.0
568,Bi Ca Cu Eu La O,47.623563675860694,4.5
1118,Mo S,3.357219537343939,1.8
2343,Ce Cr Cu O Sr Y,20.83442926794305,8.0
4017,Sc Si,3.280908955548014,0.0
3659,Mo Ru Te,5.889676267408247,0.0
3884,Ag Mg,3.280908955548014,0.0
1704,Ce Cu Nd O Sm,19.145823789455964,22.2
2070,As Fe Nd O,17.790759481143727,54.0
3604,Ca Cu Ni O Pb Sr Tl,43.49536914876131,63.5
1930,Ag Sn Te,5.979663721791599,2.2
701,Ba Cu O Tl Zn,53.91230471648201,81.0
2739,Ba Cu O,7.817889698711581,92.0
1626,B Mo Zr,6.895486547610008,11.2
2756,Ce Co,3.280908955548014,1.1125
619,Bi Ca Cu O Pb Sr Y Zn,61.93747357374124,66.9
1194,Cu La Nd O,17.89695660875449,35.9
2320,Mo Pb S Sn,13.572321412948417,11.0
749,Mo S Se,5.97191269679429,6.3
2148,B Ir U,5.888530733961021,0.0
2597,Cu O Pr Sr Tl,19.732449073559426,43.0
3355,B Si,3.280908955548014,0.34
3222,As F Fe Sr,21.631490414871017,0.0
473,Ce Nb S,5.945425043132266,2.3
2741,As Eu Fe Na,20.48333233623091,32.0
2482,Ba Na O Sb Ti,47.63774414595573,5.11
1631,Cl Mo Te,6.014795031961119,0.0
3560,Rh Ru U,5.888530733961021,0.0
700,Er Ir Si,5.66577013971479,0.0
1184,Ge Sn V,6.77394706912189,5.46
3628,Th Tm,3.280908955548014,1.07
173,N Ta Zr,7.509494665236206,23.6
1982,Li Ti,5.292847556777072,0.0
