,Phase,Formula,SG,Entry,Property,Units,Value
30,3363,Cu0.2Ni0.8S2,205,P20005523-6,energy gap,eV,4.2
31,3828,LaAl1.75Si0.25,191,P20005983-5,energy gap,eV,3.8
32,4016,CaTiO3,63,P20006151-6,energy gap,eV,4.1
33,4024,Mg0.5La5Ti4.5O17,58,P20006152-6,energy gap,eV,4.6
34,4028,Er2[MoO4]3,60,P20006153-4,energy gap,eV,4.8
35,4031,RbLi[MoO4],216,P20006154-6,energy gap,eV,4.1
36,4043,Pr4Ge3S12,161,P20006159-6,energy gap,eV,4.0
37,4044,Nd3Ge1.25S7,173,P20006160-6,energy gap,eV,3.6
38,4047,Sm4Ge3S12,161,P20006163-6,energy gap,eV,4.3
39,4049,Gd4Ge3S12,161,P20006165-6,energy gap,eV,4.4
40,4050,Cd0.5La3GeS7,173,P20006166-6,energy gap,eV,4.4
41,4054,Cd0.5Ce3SiS7,173,P20006169-6,energy gap,eV,4.3
42,4056,Cd0.5Pr3SiS7,173,P20006171-6,energy gap,eV,4.6
43,4057,Pr2SiS5,14,P20006172-6,energy gap,eV,4.5
44,4059,Cd0.5Nd3SiS7,173,P20006174-6,energy gap,eV,4.0
45,4060,Nd2SiS5,14,P20006175-6,energy gap,eV,4.6
46,4062,Cd0.5Sm3SiS7,173,P20006177-6,energy gap,eV,3.9
47,4064,Gd3Si1.25S7,173,P20006179-6,energy gap,eV,4.4
48,4072,NaPb[PO4],194,P20006181-6,energy gap,eV,4.1
49,4073,Na2Pb2[PO4]2,164,P20006182-6,energy gap,eV,5.1
50,4089,Li2Ti3O7,11,P20004009-6,energy gap,eV,4.8
51,4100,Sr2EuFeO5,140,P20006186-6,energy gap,eV,4.2
52,4101,SrEu2Fe2O7,136,P20006187-6,energy gap,eV,4.7
53,4102,SrEuFeO4,139,P20006188-6,energy gap,eV,4.8
54,4103,NiGa2O4,227,P20006189-6,energy gap,eV,4.5
55,4110,Ag2GeS3,36,P20006192-6,energy gap,eV,3.9
56,4128,SrLu2O4,62,P20006193-6,energy gap,eV,4.3
57,4147,NaMgFe[MoO4]3,167,P20006198-6,energy gap,eV,4.5
58,4152,YbNbO4,88,P20006200-6,energy gap,eV,4.6
59,4154,Zn0.8Yb0.2Nb0.2W0.8O4,13,P20006202-6,energy gap,eV,4.0
60,4160,Ag2CdSiS4,31,P20006204-6,energy gap,eV,4.7
61,4166,Zn0.143Nd0.571[MoO4],88,P20006205-6,energy gap,eV,4.1
62,4169,Cu2CdSiTe4,121,P20006206-5,energy gap,eV,4.4
63,4176,YO1.5,225,P20002379-6,energy gap,eV,3.7
64,4188,Rb[VO][SO4]2,19,P20006207-6,energy gap,eV,4.8
65,4190,Cs[VO][SO4]2,14,P20006208-6,energy gap,eV,4.7
66,4197,SrCuLaS3,62,P20006209-6,energy gap,eV,4.1
67,4198,SrCuNdS3,62,P20006210-6,energy gap,eV,4.9
68,4200,K2Ba[WO4]2,166,P20006211-6,energy gap,eV,3.6
69,4205,Cs5ZrAl[MoO4]6,173,P20006212-6,energy gap,eV,4.7
70,4206,Cs2ZrIn2[MoO4]6,148,P20006213-6,energy gap,eV,4.4
71,4207,Cs5ZrIn[MoO4]6,173,P20006214-6,energy gap,eV,4.3
72,4208,Cs2Sc2Zr[MoO4]6,148,P20006215-6,energy gap,eV,3.7
73,4209,Cs5ScZr[MoO4]6,173,P20006216-6,energy gap,eV,4.6
74,4288,Ag0.05Hg0.90In0.05S,216,P20006220-6,energy gap,eV,4.7
75,4300,Ca7[SiO4]2[PO4]2,169,P20006222-6,energy gap,eV,4.3
76,4305,Lu3Si5N9O,57,P20006224-6,energy gap,eV,4.0
77,4307,Ti4.5W0.5Bi7O21,46,P20006225-6,energy gap,eV,4.8
78,4316,Nd0.96Ti2Bi0.56O6.28,227,P20006226-6,energy gap,eV,3.3
79,4319,Na3[SO4]F,166,P20006227-6,energy gap,eV,3.4
80,4347,Ca0.10Gd0.40Zr0.50O1.70,225,P20006230-6,energy gap,eV,3.3
81,4380,EuSbS2O,129,P20006231-5,energy gap,eV,4.6
82,4382,DySbS2O,129,P20006232-6,energy gap,eV,4.8
83,4384,HoSbS2O,129,P20006233-6,energy gap,eV,4.7
84,4386,YbSbS2O,129,P20006234-6,energy gap,eV,5.0
85,4419,La2Zr3[MoO4]9,167,P20006237-6,energy gap,eV,4.4
86,4421,Sm2Zr3[MoO4]9,167,P20006238-5,energy gap,eV,4.4
87,4423,Tb2Zr3[MoO4]9,167,P20006239-5,energy gap,eV,4.4
88,4459,CuBiSe2,62,P20006240-6,energy gap,eV,4.8
89,4502,Eu0.45Hf0.55O1.775,225,P20006244-6,energy gap,eV,2.9
90,4531,NaFeNi[MoO4]3,2,P20006247-6,energy gap,eV,4.3
91,4578,YTaO4,88,P20006249-6,energy gap,eV,4.2
92,4584,Na3Ba2B6O12F,176,P20006250-6,energy gap,eV,4.6
93,4618,CaCu2O3,59,P20006253-5,energy gap,eV,5.1
94,4618,CaCu2O3,59,P20011217-6,energy gap,eV,4.0
95,4621,SrSnO3,62,P20006254-4,energy gap,eV,3.9
96,4655,K3Er[PO4]2,11,P20006255-6,energy gap,eV,4.7
97,4705,Cs2Pb[MoO4]2,12,P20006256-6,energy gap,eV,4.3
98,4721,La3Ga5SiO14,1,P20006258-6,energy gap,eV,3.7
99,4729,Cs2Mg2[WO4]3,198,P20006259-6,energy gap,eV,4.5
100,4758,Tl,194,P20003900-4,energy gap,eV,4.0
101,4763,Rb4SrU3O12,229,P20006264-6,energy gap,eV,4.8
102,4769,Ba3Zn[V2O7]2,14,P20006265-6,energy gap,eV,4.4
103,4796,Zr0.55Ti0.45PbO3,160,P20006268-6,energy gap,eV,4.3
104,4837,Ti0.52Ga0.48InO3.26,63,P20006270-6,energy gap,eV,4.1
105,4859,Na2[MoO4]0.71[SO4]0.29,227,P20006274-6,energy gap,eV,3.6
106,4877,Na4Mg[WO4]3,15,P20006275-6,energy gap,eV,4.4
107,4889,Ag2.16Ga0.84,189,P20006278-6,energy gap,eV,2.5
108,4891,Ga,64,P20002703-4,energy gap,eV,3.8
109,4897,AgIn2,140,P20006285-6,energy gap,eV,3.1
110,4900,Ag2.5La0.5,194,P20006289-6,energy gap,eV,2.7
111,4901,Ag2La,74,P20006290-6,energy gap,eV,3.5
112,4902,Ag51La14,175,P20006291-5,energy gap,eV,3.2
113,4904,La,225,P20003957-4,energy gap,eV,3.1
114,4905,La,229,P20006287-3,energy gap,eV,3.4
115,4912,Cr0.02Al0.98,225,P20006295-5,energy gap,eV,3.5
116,4918,Cr6.5Al45.5,12,P20006300-6,energy gap,eV,3.0
117,4922,Cu0.94Al0.94,65,P20006304-6,energy gap,eV,2.8
118,4932,Er2Al,62,P20006313-6,energy gap,eV,3.4
119,4933,Er3Al2,136,P20006314-6,energy gap,eV,3.4
120,4936,ErAl3,221,P20006317-6,energy gap,eV,3.4
121,4940,Gd2Al,62,P20006320-6,energy gap,eV,3.5
122,4947,Hf2Al3,43,P20002308-6,energy gap,eV,2.6
123,4949,Hf3Al2,136,P20006326-6,energy gap,eV,3.2
124,4957,Ir2Al9,14,P20006330-6,energy gap,eV,3.3
125,4960,IrAl3,194,P20006333-6,energy gap,eV,3.3
126,4964,Mg23Al30,148,P20002322-6,energy gap,eV,3.7
127,4971,Re14Al54.75,2,P20006337-6,energy gap,eV,3.2
128,4974,ReAl12,204,P20006340-6,energy gap,eV,3.6
129,4978,Rh2Al9,14,P20006344-6,energy gap,eV,3.2
130,4986,Ru4Al13,12,P20006349-6,energy gap,eV,3.0
131,4987,Ru0.998Al1.002,221,P20006350-6,energy gap,eV,2.9
132,4990,RuAl6,63,P20006353-6,energy gap,eV,3.3
133,4991,Sc0.03Al0.97,225,P20006354-6,energy gap,eV,3.3
134,4993,Sc2Al,194,P20006355-6,energy gap,eV,4.4
135,4995,ScAl3,221,P20006357-5,energy gap,eV,3.5
136,4996,Sc,229,P20003030-2,energy gap,eV,4.5
137,4998,Al0.98Si0.02,225,P20006358-5,energy gap,eV,3.4
138,4999,Sm2Al,62,P20002329-6,energy gap,eV,3.3
139,5000,Sm3Al11,71,P20002330-6,energy gap,eV,4.1
140,5001,SmAl,57,P20002331-6,energy gap,eV,3.3
141,5003,SmAl3,194,P20002333-6,energy gap,eV,3.9
142,5010,TiAl3,139,P20002345-4,energy gap,eV,3.5
143,5011,Ti0.12Al0.88,225,P20006361-6,energy gap,eV,3.0
144,5012,TiAl2,141,P20002344-5,energy gap,eV,3.4
145,5016,TiAl2,65,P20002360-6,energy gap,eV,2.8
146,5017,Zn0.48Al0.52,225,P20006364-4,energy gap,eV,2.7
147,5018,Ge0.11As0.89,166,P20006365-6,energy gap,eV,4.6
148,5021,GeAs2,55,P20006367-5,energy gap,eV,4.9
149,5027,Au2Er,139,P20006373-6,energy gap,eV,3.1
150,5028,Au3Er,59,P20006374-6,energy gap,eV,3.1
151,5030,AuEr2,62,P20006378-6,energy gap,eV,3.1
152,5032,AuEr,63,P20006377-6,energy gap,eV,3.3
153,5034,Au10Gd7,142,P20006380-6,energy gap,eV,3.7
154,5038,Au51Gd14,175,P20006384-5,energy gap,eV,3.6
155,5039,Au6Gd,138,P20006385-6,energy gap,eV,2.8
156,5045,Au2Ho,139,P20006391-6,energy gap,eV,3.1
157,5046,Au3Ho,59,P20006392-6,energy gap,eV,3.0
158,5048,Au51Ho14,175,P20006394-6,energy gap,eV,3.4
159,5049,Au6Ho,138,P20006395-6,energy gap,eV,2.8
160,5050,AuHo2,62,P20006398-6,energy gap,eV,3.2
161,5052,AuHo,63,P20006397-6,energy gap,eV,3.1
162,5058,Au3Sc,59,P20006403-6,energy gap,eV,3.0
163,5061,AuSc2,62,P20006406-6,energy gap,eV,4.3
164,5064,Au2Tb,139,P20006411-5,energy gap,eV,3.4
165,5068,Au6Tb,138,P20006415-5,energy gap,eV,2.8
166,5071,AuTb,63,P20006417-6,energy gap,eV,3.5
167,5075,Au10Tm7,142,P20006421-6,energy gap,eV,3.3
168,5076,Au2Tm,139,P20006422-6,energy gap,eV,3.1
169,5079,AuTm2,62,P20006427-6,energy gap,eV,3.1
170,5089,AuZr3,223,P20006435-5,energy gap,eV,3.3
171,5091,Ba,229,P20002209-3,energy gap,eV,3.0
172,5095,Li4Ba,194,P20006439-6,energy gap,eV,4.7
173,5096,Li,229,P20006438-3,energy gap,eV,4.7
174,5099,Cr2B,70,P20006441-5,energy gap,eV,3.2
175,5105,Be,229,P20006447-2,energy gap,eV,4.7
176,5106,Be,194,P20006448-5,energy gap,eV,4.7
177,5108,Be12Ti,191,P20006450-5,energy gap,eV,4.5
178,5109,Be17Ti2,194,P20006451-6,energy gap,eV,4.4
179,5110,Be2Ti,227,P20006452-5,energy gap,eV,4.3
180,5111,Be3Ti,166,P20006453-6,energy gap,eV,4.4
181,5114,NiBi3,62,P20006455-5,energy gap,eV,4.5
182,5115,NiBi,12,P20006454-6,energy gap,eV,3.2
183,5118,Pr2Bi,139,P20006457-5,energy gap,eV,3.7
184,5119,Pr4Bi3,220,P20006458-4,energy gap,eV,4.2
185,5120,Pr5Bi3,193,P20006459-5,energy gap,eV,5.0
186,5121,PrBi,225,P20006460-3,energy gap,eV,1.2
187,5125,B,166,P20002222-3,energy gap,eV,3.0
188,5129,Mo2B,140,P20002787-6,energy gap,eV,3.4
189,5132,NdB4,127,P20002665-6,energy gap,eV,2.9
190,5136,Li2Ca,194,P20006467-6,energy gap,eV,4.6
191,5137,Ca14Si19,167,P20006469-6,energy gap,eV,3.9
192,5139,Ca3Si4,176,P20006471-6,energy gap,eV,3.9
193,5140,Ca5Si3,140,P20006472-6,energy gap,eV,5.0
194,5141,Ca,229,P20006468-5,energy gap,eV,3.7
195,5142,Ca,225,P20003012-3,energy gap,eV,2.8
196,5143,CaSi,63,P20006473-4,energy gap,eV,3.9
197,5144,CaSi2,166,P20006474-3,energy gap,eV,4.3
198,5145,Ca2Sn,62,P20003014-4,energy gap,eV,4.8
199,5146,Ca31Sn20,140,P20003015-6,energy gap,eV,4.0
200,5147,Ca36Sn23,127,P20006475-6,energy gap,eV,3.9
201,5148,Ca5Sn3,140,P20003017-6,energy gap,eV,3.9
202,5149,Ca7Sn6,62,P20003018-6,energy gap,eV,4.4
203,5150,CaSn,63,P20003020-5,energy gap,eV,4.2
204,5151,CaSn3,221,P20006476-5,energy gap,eV,4.2
205,5153,Ce24Co11,186,P20006480-5,energy gap,eV,4.6
206,5159,CeCo5,191,P20006486-4,energy gap,eV,3.6
207,5160,Ce,225,P20006477-4,energy gap,eV,3.2
208,5161,Ce,229,P20006478-4,energy gap,eV,4.5
209,5165,Cu5Ce,191,P20006488-6,energy gap,eV,3.3
210,5167,CuCe,62,P20006490-6,energy gap,eV,3.1
211,5168,Ce,194,P20044240-6,energy gap,eV,4.5
212,5169,Hg2Ce,191,P20006492-6,energy gap,eV,3.6
213,5170,Hg3Ce,194,P20006493-6,energy gap,eV,3.3
214,5171,Hg45Ce11,216,P20006494-6,energy gap,eV,3.2
215,5172,HgCe,221,P20006495-6,energy gap,eV,4.0
216,5174,Ce3Ru,62,P20006498-6,energy gap,eV,4.0
217,5182,MoC0.48,194,P20002258-3,energy gap,eV,2.8
218,5210,Zn7.8Co,12,P20006521-6,energy gap,eV,2.5
219,5236,Cu4La,119,P20006542-6,energy gap,eV,3.1
220,5237,Cu5La,191,P20006543-5,energy gap,eV,3.4
221,5240,CuLa,62,P20006546-4,energy gap,eV,3.7
222,5242,Mg,194,P20002267-4,energy gap,eV,4.7
223,5247,Cu5Nd,191,P20006551-5,energy gap,eV,3.3
224,5249,CuNd,62,P20006553-5,energy gap,eV,3.4
225,5252,CuPr,62,P20006554-6,energy gap,eV,3.3
226,5255,Cu5Pr,191,P20006556-6,energy gap,eV,3.6
227,5268,Cu5Sm,191,P20006567-6,energy gap,eV,3.3
228,5275,Cu51Y14,175,P20006571-6,energy gap,eV,3.4
229,5288,Cu8Zr3,62,P20003460-5,energy gap,eV,2.9
230,5291,Dy2.12Pd0.88,227,P20006580-6,energy gap,eV,4.3
231,5292,Dy3Pd2,127,P20006581-6,energy gap,eV,3.4
232,5304,Dy5Pt4,62,P20006589-6,energy gap,eV,3.7
233,5305,DyPt,62,P20006590-6,energy gap,eV,3.8
234,5309,Er2.2Pd0.88,227,P20006594-5,energy gap,eV,4.7
235,5318,Eu3Sn5,63,P20006602-6,energy gap,eV,4.3
236,5320,EuSn,63,P20006604-5,energy gap,eV,3.2
237,5321,EuSn3,221,P20006605-5,energy gap,eV,3.8
238,5325,Fe3Ga4,12,P20006611-6,energy gap,eV,3.5
239,5327,Fe3Ga,225,P20006610-3,energy gap,eV,2.8
240,5331,Fe2Ge3,116,P20006614-6,energy gap,eV,2.8
241,5332,FeGe2,140,P20006616-6,energy gap,eV,3.5
242,5347,Fe7S8,152,P20006627-3,energy gap,eV,4.0
243,5350,FeS,194,P20003174-4,energy gap,eV,3.7
244,5353,S,14,P20004322-5,energy gap,eV,4.9
245,5357,FexSb,166,P20129039-6,energy gap,eV,1.3
246,5365,U6Fe,140,P20006637-4,energy gap,eV,3.7
247,5376,Zn40Fe11,216,P20006643-6,energy gap,eV,2.7
248,5377,Mg0.987Ga0.013,194,P20006644-6,energy gap,eV,4.2
249,5378,Mg2Ga,190,P20006645-5,energy gap,eV,4.2
250,5379,Mg2Ga5,139,P20006646-6,energy gap,eV,4.1
251,5380,Mg5Ga2,72,P20006647-5,energy gap,eV,4.3
252,5381,MgGa,88,P20006648-5,energy gap,eV,4.6
253,5382,MgGa2,55,P20006649-6,energy gap,eV,3.5
254,5384,Ni0.97Ga3.62,197,P20006651-6,energy gap,eV,3.2
255,5385,Ni13Ga9,12,P20002454-6,energy gap,eV,2.5
256,5386,Ni2Ga3,164,P20002455-6,energy gap,eV,2.9
257,5395,Pd7Ga3,12,P20006657-6,energy gap,eV,3.0
258,5401,Ti2Ga,194,P20006662-6,energy gap,eV,3.5
259,5407,TiGa2,141,P20006668-6,energy gap,eV,3.6
260,5408,TiGa3,139,P20006669-6,energy gap,eV,3.6
261,5417,Gd5Rh3,193,P20006676-6,energy gap,eV,3.2
262,5422,GdRh3,194,P20006681-6,energy gap,eV,3.9
263,5425,Gd4Sb3,220,P20006684-5,energy gap,eV,3.5
264,5427,GdSb,225,P20006686-3,energy gap,eV,4.4
265,5434,TiGe2,70,P20006692-5,energy gap,eV,3.3
266,5439,Na2.67Hg,225,P20006698-6,energy gap,eV,3.9
267,5440,Na3Hg2,136,P20006701-6,energy gap,eV,4.1
268,5442,Na3Hg,194,P20006700-6,energy gap,eV,4.5
269,5444,Na8Hg3,167,P20006702-6,energy gap,eV,3.5
270,5445,NaHg,63,P20006703-6,energy gap,eV,3.8
271,5446,NaHg2,191,P20003378-6,energy gap,eV,3.6
272,5448,Na,229,P20004093-3,energy gap,eV,2.7
273,5456,Hg2Rh,123,P20006711-6,energy gap,eV,2.8
274,5457,Sr13Hg58,194,P20006713-6,energy gap,eV,3.0
275,5459,Sr3Hg,62,P20006715-6,energy gap,eV,4.1
276,5461,SrHg,221,P20006717-6,energy gap,eV,3.5
277,5464,SrHg3,194,P20006720-6,energy gap,eV,3.0
278,5465,Sr,229,P20006712-4,energy gap,eV,3.0
279,5466,Sr,225,P20002403-3,energy gap,eV,2.9
280,5469,Hg45U11,216,P20006723-6,energy gap,eV,3.2
281,5470,Hg3Zr,221,P20006724-6,energy gap,eV,3.3
282,5472,HgZr3,223,P20006726-6,energy gap,eV,3.5
283,5477,Ho5Pt4,62,P20006731-6,energy gap,eV,3.6
284,5478,HoPt,62,P20006732-6,energy gap,eV,3.5
285,5484,ZrH2,139,P20003893-4,energy gap,eV,4.9
286,5486,Ni13In9,12,P20006738-6,energy gap,eV,2.9
287,5487,Ni2In3,164,P20006739-6,energy gap,eV,2.8
288,5493,Pt2In3,164,P20006745-5,energy gap,eV,3.3
289,5498,PtIn2,225,P20006751-6,energy gap,eV,3.0
290,5504,In4Se3,58,P20006754-5,energy gap,eV,5.2
291,5508,In0.25Sn0.75,139,P20052403-6,energy gap,eV,4.3
292,5512,Sc11Ir4,225,P20006760-5,energy gap,eV,4.0
293,5513,Sc2Ir,227,P20006761-6,energy gap,eV,4.4
294,5514,Sc44Ir7,216,P20006762-6,energy gap,eV,4.7
295,5515,Sc57Ir13,200,P20006763-5,energy gap,eV,5.0
296,5516,ScIr,221,P20006764-5,energy gap,eV,4.0
297,5519,K,229,P20006767-3,energy gap,eV,4.5
298,5522,K2Te3,62,P20006770-5,energy gap,eV,4.9
299,5528,La3Ni,62,P20003960-3,energy gap,eV,4.6
300,5529,La7Ni16,121,P20003961-5,energy gap,eV,3.1
301,5533,LaNi5,191,P20003965-5,energy gap,eV,3.5
302,5536,Li23Sr6,225,P20006775-6,energy gap,eV,4.7
303,5538,Mg0.996Mn0.004,194,P20006776-6,energy gap,eV,4.8
304,5539,Mg12Pr,139,P20006777-6,energy gap,eV,4.7
305,5542,Mg41Pr5,87,P20006780-6,energy gap,eV,4.6
306,5543,MgPr,221,P20006781-5,energy gap,eV,4.6
307,5545,Mg0.985Zn0.015,194,P20006783-6,energy gap,eV,4.8
308,5546,Mg21Zn25,167,P20006784-6,energy gap,eV,3.9
309,5548,Mg51Zn20,71,P20006786-6,energy gap,eV,4.5
310,5550,Mg0.9975Zr0.0025,194,P20006788-6,energy gap,eV,4.6
311,5552,MnTe2,205,P20006792-5,energy gap,eV,5.5
312,5565,Nb3Si,86,P20006802-5,energy gap,eV,4.3
313,5566,Nb5Si3,140,P20007512-6,energy gap,eV,3.7
314,5569,Ni12P5,87,P20003515-6,energy gap,eV,3.3
315,5570,Ni2P,189,P20003516-4,energy gap,eV,3.7
316,5574,Pr3Ni,62,P20006806-5,energy gap,eV,3.9
317,5576,PrNi,63,P20006808-6,energy gap,eV,3.6
318,5579,Sc2Ni,227,P20006811-6,energy gap,eV,4.0
319,5582,ScNi5,191,P20006815-6,energy gap,eV,3.5
320,5589,VNi2,71,P20003968-5,energy gap,eV,3.4
321,5602,TiN0.43,166,P20006831-6,energy gap,eV,2.0
322,5603,TiN0.58,166,P20006832-6,energy gap,eV,3.4
323,5605,Y2O3,194,P20003875-4,energy gap,eV,3.5
324,5608,Pd13Pb9,15,P20006834-6,energy gap,eV,3.5
325,5612,PdPb,2,P20006837-6,energy gap,eV,3.9
326,5613,Pb0.97Sb0.03,225,P20006838-6,energy gap,eV,4.6
327,5614,Pb0.11Sb0.89,166,P20006839-6,energy gap,eV,4.9
328,5615,Pb0.951Sn0.049,225,P20006840-6,energy gap,eV,4.7
329,5616,Pb0.015Sn0.985,141,P20006841-6,energy gap,eV,3.5
330,5618,Tl,229,P20003910-2,energy gap,eV,4.0
331,5623,Y3Pd4,148,P20003451-4,energy gap,eV,4.0
332,5624,Y3Pd5,63,P20074532-6,energy gap,eV,3.5
333,5625,Y3Pd,62,P20006845-5,energy gap,eV,4.6
334,5627,YPd,63,P20006846-5,energy gap,eV,3.8
335,5635,Pt6Si5,11,P20006854-6,energy gap,eV,3.2
336,5636,PtSi,62,P20006855-3,energy gap,eV,3.1
337,5653,RhTe2,205,P20006871-6,energy gap,eV,4.7
338,5654,Rh3Te2,63,P20006872-6,energy gap,eV,4.2
339,5668,Sn0.126Sb0.874,166,P20006886-5,energy gap,eV,1.3
340,5669,Sn0.38Sb0.62,166,P20006888-6,energy gap,eV,2.7
341,5670,Sn0.92Sb0.08,141,P20006887-6,energy gap,eV,4.6
342,5675,Ti3Si,86,P20003383-6,energy gap,eV,3.5
343,5676,Ti5Si3,193,P20003385-6,energy gap,eV,3.5
344,5677,Ti5Si4,92,P20006891-6,energy gap,eV,3.2
345,5679,Ti2Sn,194,P20004310-6,energy gap,eV,4.5
346,5682,Ti6Sn5,194,P20004312-6,energy gap,eV,3.9
347,5686,SrZn2,74,P20006895-6,energy gap,eV,3.6
348,5687,SrZn5,191,P20006896-6,energy gap,eV,3.7
349,5694,Zn2Ti,194,P20006903-6,energy gap,eV,2.8
350,5695,Zn3Ti,221,P20006904-6,energy gap,eV,3.1
351,5711,AuAl,11,P20006919-6,energy gap,eV,3.0
352,5712,AuAl2,225,P20006920-6,energy gap,eV,2.9
353,5715,Ni3In,194,P20006922-6,energy gap,eV,2.7
354,5722,SmCo5,191,P20003224-6,energy gap,eV,3.8
355,5724,Nd2Al,62,P20006926-6,energy gap,eV,3.8
356,5725,Nd3Al,194,P20006927-4,energy gap,eV,3.8
357,5726,Nd3Al11,71,P20006928-5,energy gap,eV,4.2
358,5727,NdAl,57,P20006929-6,energy gap,eV,3.5
359,5729,NdAl4,139,P20006931-6,energy gap,eV,2.9
360,5743,Mg0.995Ag0.005,194,P20006943-5,energy gap,eV,4.6
361,5745,Mg54Ag17,71,P20006945-6,energy gap,eV,4.3
362,5753,Ag3Sn,59,P20002108-4,energy gap,eV,2.8
363,5758,AgZr,129,P20006955-6,energy gap,eV,2.8
364,5760,Be0.0029Al0.9971,225,P20006957-6,energy gap,eV,3.3
365,5761,Be0.997Al0.003,194,P20006958-6,energy gap,eV,4.7
366,5766,CaAl4,139,P20006962-6,energy gap,eV,3.8
367,5768,Co2Al9,14,P20006963-4,energy gap,eV,3.0
368,5769,Co4Al12.35,12,P20006964-6,energy gap,eV,2.5
369,5770,Co4Al13,31,P20006965-6,energy gap,eV,3.1
370,5774,Dy2Al,62,P20006968-6,energy gap,eV,3.1
371,5775,Dy3Al2,136,P20006969-6,energy gap,eV,3.4
372,5778,Ir13Al45,62,P20006972-6,energy gap,eV,3.0
373,5779,Li0.045Al0.955,225,P20006973-4,energy gap,eV,3.1
374,5781,Mg0.975Al0.025,194,P20006975-6,energy gap,eV,4.6
375,5786,Pb,225,P20003011-4,energy gap,eV,4.7
376,5788,Pd2Al3,164,P20006980-6,energy gap,eV,3.2
377,5797,V4Al23,194,P20006984-6,energy gap,eV,3.5
378,5799,V7Al45,12,P20006986-6,energy gap,eV,3.0
379,5802,Y2Al,62,P20002279-6,energy gap,eV,3.7
380,5803,Y3Al2,136,P20002413-5,energy gap,eV,4.1
381,5805,YAl3,166,P20006989-6,energy gap,eV,3.1
382,5806,YAl3,194,P20002415-5,energy gap,eV,3.2
383,5807,YAl,63,P20002414-6,energy gap,eV,3.6
384,5811,Cu2.5As,225,P20006991-6,energy gap,eV,3.4
385,5812,Cu2.52As,165,P20002112-5,energy gap,eV,3.4
386,5814,SiAs,12,P20006992-6,energy gap,eV,4.6
387,5815,SiAs2,55,P20006993-6,energy gap,eV,4.5
388,5816,As2Te3,12,P20002459-5,energy gap,eV,2.8
389,5819,AuPb2,140,P20006996-6,energy gap,eV,4.2
390,5820,AuPb3,121,P20006997-6,energy gap,eV,3.4
391,5822,Ba6Ge25,213,P20002205-4,energy gap,eV,3.8
392,5823,BaGe2,62,P20002208-5,energy gap,eV,3.8
393,5825,Ba[O2],139,P20006998-5,energy gap,eV,3.7
394,5829,CoB,62,P20007001-4,energy gap,eV,2.7
395,5830,Be13Sc,226,P20007002-6,energy gap,eV,4.7
396,5831,Be17Sc2,194,P20007003-6,energy gap,eV,4.7
397,5832,Be5Sc,191,P20007004-6,energy gap,eV,4.6
398,5833,Be13Zr,226,P20007005-3,energy gap,eV,4.5
399,5834,Be17Zr2,166,P20007006-4,energy gap,eV,4.6
400,5836,Be5Zr,191,P20007008-6,energy gap,eV,4.6
401,5837,Ca11Bi10,139,P20007009-6,energy gap,eV,4.0
402,5839,Bi6Cl7,58,P20002688-6,energy gap,eV,5.7
403,5841,BiCl3,33,P20002683-5,energy gap,eV,5.7
404,5842,Nd2Bi,139,P20007011-6,energy gap,eV,3.5
405,5843,Nd4Bi3,220,P20007012-6,energy gap,eV,4.3
