,phase,predicted bg eV,true bg eV
33914,F K Nb O Rb,5.213152220596935,5.5
37249,Cl Cu Nd O Sr,4.833725588396678,5.0
4230,Ge Nb Ni,4.062215674286633,3.2
32841,Ba Cu Na O,4.074150197977342,5.4
9937,Al Ca Ge,4.062519526634685,4.7
4981,O Sb Sr,4.065717359938177,5.7
9476,B Dy Ru,4.058988365115656,3.6
17711,Au Br H N,5.282379287812984,5.9
31192,Co Ge In Pr,4.058988365115656,4.2
37383,Ga H K O Pb W,4.536834847924909,4.4
35353,B Cl Rb Zr,5.589374286598636,5.6
6396,Ca La Mo O,4.07768135949637,5.1
15971,Cs H Mn Na Nb O Si W,4.534229944411796,4.4
16552,H N O Se W,4.534461084299648,4.1
32065,Li Mo N,4.522350470486193,4.8
8284,Ba Co Fe O P,4.074150197977342,4.3
28147,Bi Ca Cu Ga O Pb Sr,4.069248521457205,3.6
38024,Ga Na Ni,4.062519526634685,4.9
39613,Cl In Te Zn,5.406787080877133,4.6
25693,Cr K O V,4.527973359357233,4.7
2570,Pb Se Tl,4.495773456364534,4.8
39503,As Cu Lu Zn,4.062215674286633,3.6
33336,Cl Cr H O,5.196394779975812,5.4
15688,La O Sb Si Zn,4.537413771313109,4.5
3607,Cr Ni P,4.522350470486193,4.2
28750,Ca F Fe H Mg Mn O P,4.82204759598291,4.6
11341,Br Cs Mo,5.9705699793479265,6.3
12459,Gd Se Yb,4.492871327739529,4.0
5372,Cu Er Si,4.058988365115656,3.7
16830,Ba F O V,5.420856334709522,5.9
25224,Ba Ga Ge N,4.065717359938177,4.4
4192,Ga Nb V,4.058988365115656,3.7
18549,Al Nb O P,4.527973359357233,4.7
22374,Hf In Ni Sb,4.062215674286633,3.1
35443,Br Ce Cs Nb,5.408918400197159,6.1
16205,Mg Nb O Zn Zr,4.527973359357233,3.7
35617,H N Na O V,4.089864874350884,5.0
22699,Au Gd Sn,4.058988365115656,4.5
38194,Ag Na O Sb,4.527973359357233,4.6
38506,Cs Ni O P V,4.527973359357233,4.6
16772,F Li Ni O P,4.777673158433731,4.7
14528,C La O,4.527973359357233,3.9
836,Fe Ni Sb,4.522350470486193,3.8
24483,Fe O Sm Sr,4.505358694942094,3.9
16061,Cd Pb Pr,4.062215674286633,2.6
21538,Ca Fe O Si Zr,4.527973359357233,4.3
6391,Ga Hf Nb O,4.06742120315482,4.4
32429,Al B Be K Li Na O,4.058988365115656,4.4
7675,Cr Fe O Sr,4.527973359357233,3.8
39684,B Cl H Na Y,5.120702712888002,4.6
13577,C Cu H Na O,4.527973359357233,4.8
6597,Al Nd O Sr,4.527973359357233,5.3
24040,Er Se Sm,4.492871327739529,5.0
10398,Ge Ir La Ru,4.062215674286633,2.9
4552,Cu In S Si,4.527973359357233,4.6
34157,Br Cl I Sb,5.361225375967462,6.1
32594,Cs H Li O,4.536834847924909,5.1
34850,C Er H N O Pt,4.527973359357233,4.4
16769,N O Sr Ta,4.5120876897646145,5.3
11857,Ba Ge S Si,4.534461084299648,5.0
1424,P Zn,4.062215674286633,4.2
30391,As Na Si Zn,4.065746835805662,3.7
19902,La Nd O Zr,4.527973359357233,3.8
5877,Mo O Ti Y,4.505358694942094,4.4
26984,Cs F O Re,5.323831227994137,5.5
20294,Ce H K O Si W,4.536834847924909,4.5
8427,K Mo O Tb,4.527973359357233,4.2
16073,Eu In Na P,4.065717359938177,4.0
4555,Ag In S Si,4.527973359357233,4.5
9324,C Ge Y,4.058988365115656,3.7
39054,Cr H N O Rb,4.55660117805618,4.1
33226,Be C H K O,4.534461084299648,4.1
12931,Ho K O Si,4.527973359357233,5.1
36052,C N Si Y,4.0747030414892,3.8
8110,Ho O Sr Ta,4.508586004113071,3.7
4097,B Ni Sm,4.058988365115656,3.7
35019,Ba Ni O Sr,4.527973359357233,3.8
28879,Bi Cr H O,4.527973359357233,5.0
5114,Na Nd O W,4.527973359357233,4.7
27768,F K Na Sn,5.711667496463615,6.5
376,Cl S,5.731968330618537,5.6
9430,Co Cs S,4.527973359357233,5.4
22978,Na S Sn Zn,4.499275142016078,4.2
22793,K O Se Zn,4.537413771313109,4.6
4478,O Sr Tm,4.081432036311719,3.7
31885,Au Cr S,4.527973359357233,4.0
9038,Ir La Mg O,4.070952364673849,4.6
13597,As Ba Na O Ru,4.08636318869934,4.2
571,Lu Ni,4.062215674286633,2.6
9195,Be Pa,4.058988365115656,4.5
14023,Br Cl P,5.513692604600098,5.8
28362,Al Pd Pu U,4.058988365115656,3.3
31388,As Hg O Sr,4.527973359357233,4.9
21139,As Cu Fe S,4.070648512325796,4.8
10154,Al Gd Pt,4.058988365115656,3.1
8351,K O Sb Tb,4.537413771313109,4.8
1646,I Pr,5.935916440657386,7.0
22208,In Np Pd,4.062215674286633,3.4
29567,Be Bi O Rh,4.537413771313109,4.6
2974,F Sn Tl,5.730360802268799,6.1
11265,O Re Ru,4.065717359938177,3.9
19630,Cs O Si U,4.51498981838962,5.7
25038,F Sb Sr,5.729647105847701,5.5
10691,B Gd La,4.058988365115656,3.1
39972,As La Li,4.065746835805662,4.1
31867,Ce I La S Si,4.975291506062292,4.7
11673,Ge Mn Pr S,4.070648512325796,3.3
31657,B Gd H K,4.527973359357233,4.8
19888,K Li Lu Mo O,4.065717359938177,5.0
31736,Br C Ge O W,4.861667536584089,4.8
31223,B Ru Si V,4.058988365115656,3.2
26236,Ca Rh Sn,4.065717359938177,3.9
21293,B F O Yb,5.5899253265964255,4.9
30702,B Be Gd O,4.06742120315482,4.2
32583,F Ge Na,5.741904453869471,5.5
26397,Ca La Li O Te,4.07768135949637,5.2
23105,Cu Er Mo O Sr,4.06742120315482,3.9
38063,Li Nd Si,4.062215674286633,4.4
27473,Dy Ga In Ni,4.062215674286633,3.5
13285,Ba Co O Y,4.527973359357233,5.0
890,La O Sr,4.5120876897646145,4.2
6290,Cs Eu O W,4.527973359357233,4.5
7273,Ge O P Pr,4.537413771313109,5.5
13610,Fe La O Re,4.527973359357233,5.0
35492,H La Se,4.527973359357233,5.1
23880,Ba Co Fe O Y Zn,4.074150197977342,4.3
36136,Dy N O W,4.534461084299648,3.1
40324,Eu Li O Ta,4.527973359357233,4.8
3336,Er Ru,4.062215674286633,3.3
15274,B Er Gd,4.058988365115656,3.3
30643,Ca Eu Gd Nb O Sn Sr,4.069248521457205,4.4
30864,Co Ho O Sb,4.527973359357233,4.3
12522,Gd Mn Nd O Pb Ti,4.070648512325796,3.9
25380,Eu Ge Zn,4.065717359938177,3.7
38896,As H K Na O W Yb,4.534229944411796,4.6
4987,O Tb W,4.065717359938177,5.1
21491,Al Fe H K Mg O Si,4.527973359357233,3.8
25567,H K O Pu S,4.527973359357233,4.5
21585,Al B Cs O,4.06742120315482,4.5
19137,C Ni Th Y,4.058988365115656,3.9
11979,Ba Ca O Ta,4.527973359357233,4.3
23278,Cs F Sc,5.679749442122709,6.6
8300,H N O S,4.534461084299648,5.3
2320,Hg Pb Se,4.534461084299648,4.6
34431,C Er N Si,4.522350470486193,4.3
17954,C H Mg N O S,4.536834847924909,4.8
4452,Al Au Ti,4.058988365115656,3.2
34492,Li Mn O Sr,4.527973359357233,4.4
40557,As Rb Rh,4.077930350660176,3.0
14866,Cl O Pb Se,5.258036796525626,5.1
24537,C Cl Co O Sn,5.025590258785812,5.0
36999,B Ba F,5.126823544396498,6.8
20133,Au Ba In,4.0747030414892,4.0
19483,Ba Ca Gd Li Mo O,4.069248521457205,3.8
13102,C Mg N,4.522350470486193,5.2
9738,Na S Ta,4.496373013391072,2.9
26859,Cu Dy Rb Se,4.06742120315482,4.9
28276,Gd Mg Na O V,4.070648512325796,4.2
35152,Al Mn O Sb,4.527973359357233,4.0
14233,Ba Ho O Ru,4.527973359357233,5.1
31910,As Ni Zr,4.062215674286633,3.3
34194,Ba Ca Ge,4.069248521457205,4.4
26367,In Li N Sr,4.522350470486193,3.6
22601,Cl Cs H Mo O S,5.068004646029267,5.4
8554,Ba Eu O Ti,4.527973359357233,4.4
39662,C H I N O Tm,5.113320634225607,5.0
33024,As C Cl F O S,5.133311269338913,6.1
26888,Al Co F H N,5.126823544396498,5.7
40025,Ga S V Zn,4.489644018568552,4.2
35595,Ge Se Sr,4.492871327739529,3.9
3426,Lu Rh,4.062215674286633,3.3
22810,Ba Cl K S Sb,5.023206053724395,5.0
33806,F Na Ni Rb,5.826646451762015,6.7
35954,Ge Si Yb,4.062215674286633,4.2
17864,Ca Cl H O Re,5.118478460533275,4.9
17335,Gd In Mn,4.062215674286633,3.9
34686,C H K N O Re S,4.536834847924909,5.0
36377,B Co Cu Fe Ta Zr,4.058988365115656,3.1
30888,As Cu Tb Zn,4.062215674286633,4.2
8819,Dy O Se,4.537413771313109,4.9
21503,Co Dy Te,4.793725469866164,3.8
5843,Ba Br In O,5.282379287812984,5.3
25452,N O Si Tm,4.51498981838962,3.5
33608,Mg N Ta,4.077930350660176,5.1
24693,Al Lu O Zn,4.527973359357233,4.8
1417,O Se Te,4.803165881822041,5.5
27710,Ba Cu O Sr Yb,4.527973359357233,4.2
1684,Cu In Pr,4.058988365115656,4.0
29614,Co H O P V,4.562311629645546,3.3
28806,K S Sb Tl,4.537413771313109,5.0
31381,Au Cd Y,4.058988365115656,2.9
38578,Li Nb O Te,4.527973359357233,4.0
884,In Pd Tb,4.062215674286633,3.6
20975,F Ho Mo O,5.296066671564675,4.5
29237,H K Ni O V,4.089864874350884,4.6
28665,Cu Gd Li O,4.06742120315482,4.9
21841,Al Co La Mg Ni,4.058988365115656,3.6
34371,In Sn Sr,4.062215674286633,4.2
7158,Ca Nd O P,4.527973359357233,4.6
21779,Al Ir Nd,4.058988365115656,3.0
30778,Ge Mn O Sm Sr,4.527973359357233,3.9
1198,Cs O Zr,4.5120876897646145,4.8
17670,Ag Pb S Sb,4.534461084299648,5.4
2141,F Th Tl,5.852796423803177,6.0
9237,Nd S,4.496373013391072,5.1
10737,Li Mg Sb Sn,4.522350470486193,4.6
21397,As Au Nd,4.062215674286633,3.7
35788,H I K N O,4.986432012671408,5.3
29080,C Cd Cu H K N O,4.06742120315482,3.4
35350,B Cl Cs K Zr,5.0247672509825705,5.0
7239,H Mg O Rb V,4.527973359357233,4.1
26742,Er Ga O Pr,4.527973359357233,4.8
28623,Cl Ho O,5.482622682279331,5.3
34250,F N P S,5.289867462477266,5.7
20408,Ni O Si Ti,4.5082608235671,3.3
25808,Cl Co H Mg O,4.910999390932356,3.9
10844,Hg K S,4.527973359357233,4.7
3936,Al Ge W,4.058988365115656,3.0
18975,Cd Mo O U,4.527973359357233,5.3
14106,Cd Ge H O,4.534461084299648,5.1
10899,As La Ni Zr,4.065746835805662,3.4
33882,I S Sb Sn,5.271494384090558,5.5
24883,Ce Cu Dy La O,4.065717359938177,4.1
2064,B Nb Ti,4.058988365115656,3.4
25527,Bi Pd Pr,4.065717359938177,3.9
29629,As F N S Xe,5.2761534142816915,5.8
323,O Pr,4.065717359938177,5.2
11994,Cr Ge Ho Na O,4.058988365115656,4.5
12520,Cl K O,5.618598025411622,5.5
13886,Cs Nb Nd O Ti,4.074150197977342,3.9
28543,Cl Cs H O Te,5.176414970773831,5.6
31797,Br Li Tb,5.900742336221762,6.1
13291,Ce Cu Dy Hg O Sr W,4.065717359938177,4.2
4490,Cu Na O Sb,4.527973359357233,4.4
29210,Cd Sb Yb,4.062215674286633,3.3
20712,Pt Yb Zn,4.062519526634685,3.3
18359,H Mn Na O W Zn,4.074150197977342,4.1
13984,F Sb Se,5.535052458577809,6.1
36297,O Sr Ta Ti,4.081432036311719,3.7
8335,Ag As H O Te,4.534461084299648,5.1
20173,Ba Eu La O Zn,4.07768135949637,4.1
36015,Al Eu Se,4.527973359357233,5.0
29125,Sb Sm Sn Ti,4.062215674286633,4.3
5681,Ga Mn S,4.527973359357233,4.4
29280,Cu Mn S Zr,4.527973359357233,3.1
33641,Ba Cu I O,5.126823544396498,4.5
9658,Se Sm Zr,4.062215674286633,4.0
21878,Cl Co Tb,5.8312915039139375,5.9
37982,Cl Cs O Xe,5.5806161895566415,4.9
29069,C Cd Cr H Ir N O,4.06742120315482,4.4
25006,H K Lu O S,4.089864874350884,4.5
32150,Eu Mg P Pt,4.522350470486193,3.9
24983,Cu La O W,4.527973359357233,4.0
26959,Ba H O P Zn,4.562311629645546,5.4
25798,Br H K O Pt,5.253480818425555,4.9
14738,H O Pb S,4.537413771313109,5.4
27607,Bi Mn O Sr Ti,4.527973359357233,4.1
12998,Al Gd V,4.058988365115656,3.3
12525,Al Cs O,4.527973359357233,4.6
24627,Cr F Fe Rb,5.623915184435406,5.4
18345,As Cd Sr,4.062215674286633,4.1
10742,As Mg Na,4.062215674286633,4.4
10993,Fe K Mg Mo O,4.0747030414892,4.6
19921,Ba O Pr Sb,4.5120876897646145,4.6
20157,B H Mn O P,4.536834847924909,4.7
16803,H Na O P V,4.527973359357233,5.2
33859,B Cl N,5.661775524098574,5.2
855,Ga Ge Y,4.058988365115656,4.4
17483,H K Mo O P S,4.089864874350884,4.7
36560,Al Cu Mn O,4.06742120315482,3.8
31782,Na P Si Sr,4.065717359938177,3.6
29449,As H Mg O Tl,4.536834847924909,4.8
34030,Al Ba In,4.0747030414892,4.6
16825,Ba Co Ho O,4.074150197977342,4.4
18574,F K Mo Na O,5.0768291346787535,5.3
23871,F Fe H K O P,4.890431216060128,4.0
8017,Cr Cs Mo O Sm,4.0831358795283625,4.0
7697,Ir Lu Si,4.058988365115656,3.7
28909,Cs Ga Ge O,4.074150197977342,5.4
26414,Ce H N O Rb,4.55660117805618,4.8
980,Al Cr Yb,4.058988365115656,3.2
19242,Ge Sb Sn Te,4.070648512325796,5.8
17309,Ba Cl F,5.679522135522912,6.6
12245,Nd O Rb Ti,4.5120876897646145,4.2
9399,Au Bi Sr,4.488242228746504,4.6
1357,K O Zr,4.5120876897646145,4.8
39565,C Cs H Mo N O Re S,4.527973359357233,2.7
3132,Gd Ge Tm,4.062215674286633,4.5
8463,Li O W Yb,4.508586004113071,4.0
27198,O Se Sn,4.499275142016078,5.2
21323,Li Mn Na S,4.070648512325796,4.6
1335,Ge U,4.062215674286633,3.9
37894,Cu K La Ni O,4.0747030414892,4.8
4820,Cu Nb O Sr,4.527973359357233,4.0
1843,As Cd I,5.126823544396498,5.0
14637,Al C Sc,4.058988365115656,4.5
6515,Al K O W,4.527973359357233,3.6
5377,Co Ge Zn,4.058988365115656,3.0
32221,Au Mg Tm,4.058988365115656,3.7
25961,Co F H N O Si,5.032998555171017,5.5
31962,Cl La O S,5.207245374631241,5.4
15674,H O Sr Ta W,4.5120876897646145,4.3
28160,Gd La Nd O V,4.074179673844825,5.0
31362,Ce Ge Ni Sn,4.065717359938177,3.4
26686,C Cs Fe N Na,4.0747030414892,4.8
18816,C Cu H O,4.527973359357233,4.9
33628,Bi Co Mn O,4.074150197977342,3.9
13125,Eu H Si,4.529633529312635,4.8
23906,As Cr Cs H O,4.070648512325796,4.6
28101,Ce Cu Gd Nb O Ru Sr Tb,4.065717359938177,3.8
37103,Al B Cs O P,4.06742120315482,5.0
3188,Sn Te Tl,4.5930734732609615,5.0
26926,Ba Cu Hg O Y,4.074150197977342,4.1
18061,H O S Tl Zn,4.537413771313109,4.3
24159,Ce H Na O Si,4.536834847924909,5.0
15415,Br C F,5.482994885157812,5.6
2248,Co Dy O,4.527973359357233,3.9
8767,As Sb Yb,4.062215674286633,3.7
8919,Hf O Ti Zr,4.508586004113071,3.7
26941,Bi O Sb W,4.537413771313109,5.2
32783,Co F Rb Zn,5.37816659641877,6.4
4583,Ba Co O,4.527973359357233,4.5
10827,H La N,4.522350470486193,4.1
23923,Cs H O S Se Te,4.562311629645546,5.7
33551,K Na O Re,4.527973359357233,4.8
15083,Ce F S Sr Y,5.0580145006723525,5.5
4740,Al La O Ti,4.527973359357233,4.4
21695,Cs O S Si,4.537413771313109,5.0
28238,Li O Tm W,4.508586004113071,3.8
4968,C Na O S,4.527973359357233,3.4
31419,As Ge Sn,4.062215674286633,4.4
32135,Cl Hg Mo,5.718321496887232,5.5
36484,Co Cs N O,4.526994101303023,5.0
31913,Au Cs Pb,4.522350470486193,4.2
6078,La Na Nb O Zn,4.07768135949637,4.2
16760,Ce P Zn,4.065717359938177,4.1
7032,Mo Na O Zr,4.527973359357233,4.3
34331,H K Na O Sr W,4.089864874350884,4.9
22429,Co Fe Na O,4.06742120315482,4.0
15090,Al Ce O Si Sr,4.527973359357233,5.5
32803,Br Ni Th,5.815128849829245,6.0
28691,Eu Mg N Ta,4.522350470486193,3.9
35099,Be Ge O Pb,4.534461084299648,5.0
13812,C F Na O Yb,4.986591965378097,4.9
28141,Ba Cl Ge Na S,4.975291506062292,4.3
37121,Eu Hf O Y,4.527973359357233,3.5
40590,Br C Ca H O,4.926446056098685,4.8
36462,Al C Co W,4.058988365115656,3.6
31171,C Ca In,4.062519526634685,3.8
35079,Cl Co Fe Li,5.729922038625518,4.4
21011,Ce Mn O Sr,4.527973359357233,4.0
11131,Cs Mo Nb O,4.074150197977342,4.7
5640,Na Se V,4.496373013391072,4.8
1169,Cl K Tm,5.987288360017602,5.9
19692,As Ba Cr Fe,4.077930350660176,3.6
35143,La Mn O Rb,4.527973359357233,4.0
18507,Cd Hg In Se,4.070648512325796,4.8
32088,Cl Li Mo,5.879664042058322,6.2
5137,Si Tc,4.058988365115656,3.7
23984,Cu Hg La Mo O Sr,4.058988365115656,3.8
38501,Cs Cu Ga O P,4.074150197977342,4.9
19007,I Nd O,5.477746668823939,6.0
30751,Mo O Te Y,4.803165881822041,5.0
24032,Nd O Sc Sr,4.5120876897646145,4.9
6616,Ga H N O S,4.55660117805618,5.4
16357,Al As K O,4.06742120315482,5.3
31106,Li N O Sr Ta,4.534461084299648,3.5
12454,Na O Pb,4.537413771313109,4.7
5327,Co Ga Tb,4.058988365115656,3.4
2104,Cs F Zr,5.679749442122709,5.7
35727,C H Li O Pr,4.536834847924909,4.7
23888,Hg Sn Te Tl,4.800213194808578,5.6
37915,Ba C F O Zn,5.133311269338913,5.2
18683,Cl Cs N O U,5.17877781861421,5.2
30642,Ca Eu Gd Nb O Sn,4.069248521457205,5.2
35129,Ce Cl H N O,5.113940357052736,5.7
27735,Al Fe Mg Mn O Zn,4.058988365115656,4.0
27359,C Mg Sm,4.058988365115656,4.5
4889,O S Y,4.496373013391072,5.2
32779,Ag Al F Fe Rb,5.126823544396498,5.6
17145,Cl Gd Mo O,5.296066671564675,4.4
37434,Ce F Na Nb O Ti,4.8943497041805735,4.2
12894,Cd Ge O Sc,4.534461084299648,4.6
1483,Al Fe S,4.527973359357233,4.4
11412,H Mn O S U,4.527973359357233,5.3
821,Cu Sb Ti,4.058988365115656,3.1
4797,Fe Li O P,4.527973359357233,5.1
679,Al Ho Ti,4.058988365115656,3.5
22823,Ba Ca F O Si V,5.126823544396498,3.8
25304,Cd I Sb,5.65880394227193,4.8
31290,Ba Fe H O V,4.527973359357233,4.8
38066,Li Pr Si,4.062215674286633,4.4
15992,Pt Si Ti,4.058988365115656,3.4
29744,Al Br Cl Sb Te,5.144264286645619,5.6
1290,Ga Ho Sm,4.058988365115656,3.2
27071,Cu Ge I S,5.133311269338913,3.8
19036,Co La Nb Ni O,4.062519526634685,4.0
27215,Li Lu O Te,4.527973359357233,5.1
19696,Ba La Mn O W,4.07768135949637,4.5
23751,Hg I O,5.64747985479232,5.6
18095,C H K O S Tb,4.536834847924909,4.7
17609,Li S Te,4.803165881822041,4.8
19178,Pr Sb Sc,4.065717359938177,4.6
20871,Ba Cu Hg O Sr V,4.074150197977342,3.6
39588,Cr O P Sr,4.537413771313109,4.8
35111,Eu H Rh Sr,4.534229944411796,4.1
18342,H K Nb O,4.089864874350884,5.1
9865,Li Sb Y,4.062215674286633,4.7
29676,Ce La Mn O Sr,4.07768135949637,3.9
25926,C Co H N Ni O,4.527973359357233,4.4
20353,Br O Sm Ta,5.2946982993878,5.4
28195,Al Lu V,4.058988365115656,3.3
19738,Cl Cu H N,5.207245374631241,5.2
39001,Bi Br W,5.65505130206555,5.8
5020,Ag N O Rb,4.534461084299648,5.3
31617,Co F Fe Li Na O P,4.826204870286934,4.2
